Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Tyler Herro,herroty01,32.1,6,14,.429,1,5,.200,0,0,,0,6,6,4,0,0,4,3,13,-7
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Duncan Robinson,robindu01,30.333333333333332,4,8,.500,3,6,.500,3,3,1.000,0,5,5,1,0,0,1,2,14,-5
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Maurice Harkless,harklma01,22.716666666666665,1,4,.250,1,2,.500,0,0,,0,2,2,1,0,0,0,0,3,-4
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Goran DragiÄ,dragigo01,25.966666666666665,8,13,.615,1,4,.250,3,3,1.000,0,4,4,7,1,0,1,4,20,7
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Kelly Olynyk,olynyke01,19.983333333333334,2,6,.333,1,3,.333,0,0,,0,3,3,1,2,0,0,2,5,-3
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Andre Iguodala,iguodan01,16.833333333333332,0,2,.000,0,0,,0,0,,2,2,4,0,1,1,3,3,0,-3
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Precious Achiuwa,achiupr01,13.65,3,4,.750,0,0,,2,4,.500,1,2,3,0,0,0,0,2,8,6
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Kendrick Nunn,nunnke01,8.033333333333333,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-4
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Nikola VuÄeviÄ,vucevni01,33.55,5,13,.385,3,5,.600,2,8,.250,2,9,11,3,1,1,2,0,15,0
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Evan Fournier,fournev01,30.716666666666665,9,13,.692,3,5,.600,4,5,.800,0,0,0,4,3,0,2,2,25,0
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Markelle Fultz,fultzma01,28.816666666666666,6,15,.400,0,3,.000,3,3,1.000,0,5,5,4,1,1,4,4,15,3
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Aaron Gordon,gordoaa01,26.0,8,11,.727,1,4,.250,3,6,.500,3,4,7,0,4,0,2,4,20,17
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Dwayne Bacon,bacondw01,18.983333333333334,0,5,.000,0,1,.000,0,0,,0,3,3,3,0,0,0,2,0,0
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Terrence Ross,rosste01,28.55,6,14,.429,3,6,.500,4,4,1.000,0,3,3,1,1,0,3,1,19,9
"Wed, Dec 23, 2020",Amway Center,Orlando Magic,Miami Heat,Chuma Okeke,okekech01,22.0,1,3,.333,0,1,.000,1,2,.500,2,3,5,2,1,0,1,0,3,-11
