Date,Arena,Visitor_Team,Home_Team,player_team,is_home,opponent,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,adv_TS%,adv_eFG%,adv_3PAr,adv_FTr,adv_ORB%,adv_DRB%,adv_TRB%,adv_AST%,adv_STL%,adv_BLK%,adv_TOV%,adv_USG%,adv_ORtg,adv_DRtg,adv_BPM
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Kyrie Irving,irvinky01,25.3,10,16,0.625,4,7,0.571,2,2,1.0,1,3,4,4,0,0,1,3,26,21.0,32,0.77,0.75,0.438,0.125,4.0,10.0,7.3,33.0,0.0,0.0,5.6,26.9,152.0,98.0,13.6
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Kevin Durant,duranke01,24.933333333333334,7,16,0.438,1,2,0.5,7,7,1.0,1,4,5,3,3,1,1,3,22,19.1,26,0.577,0.469,0.125,0.438,4.1,13.5,9.3,20.2,5.2,2.9,5.0,30.7,127.0,83.0,11.1
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Joe Harris,harrijo01,20.766666666666666,4,8,0.5,2,5,0.4,0,0,,2,5,7,2,0,1,2,2,10,8.2,21,0.625,0.625,0.625,0.0,9.8,20.3,15.6,14.1,0.0,3.5,20.0,18.3,113.0,91.0,2.7
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Spencer Dinwiddie,dinwisp01,19.95,2,6,0.333,1,3,0.333,4,4,1.0,0,5,5,4,0,0,3,1,9,6.5,24,0.58,0.417,0.5,0.667,0.0,21.1,11.6,25.9,0.0,0.0,27.9,20.5,103.0,94.0,-1.4
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,DeAndre Jordan,jordade01,17.05,2,3,0.667,0,0,,0,2,0.0,2,9,11,1,1,1,3,2,4,4.6,21,0.515,0.667,0.0,0.667,12.0,44.5,29.8,7.7,2.5,4.3,43.6,15.4,72.0,76.0,-2.6
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Caris LeVert,leverca01,24.816666666666666,6,17,0.353,3,5,0.6,5,6,0.833,1,8,9,5,2,1,2,1,20,17.0,18,0.509,0.441,0.294,0.353,4.1,27.1,16.7,31.8,3.5,2.9,9.2,33.2,112.0,82.0,8.7
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Landry Shamet,shamela01,19.716666666666665,1,4,0.25,1,4,0.25,3,4,0.75,0,1,1,0,1,0,2,3,6,1.3,12,0.521,0.375,1.0,1.0,0.0,4.3,2.3,0.0,2.2,0.0,25.8,15.0,82.0,95.0,-7.8
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Jarrett Allen,allenja01,19.616666666666667,2,3,0.667,0,0,,4,5,0.8,3,4,7,2,1,2,2,0,8,11.4,12,0.769,0.667,0.0,1.667,15.6,17.2,16.5,13.2,2.2,7.4,27.8,14.0,133.0,86.0,8.1
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Jeff Green,greenje02,17.283333333333335,3,4,0.75,1,2,0.5,0,0,,0,0,0,1,1,0,1,3,7,4.9,6,0.875,0.875,0.5,0.0,0.0,0.0,0.0,8.2,2.5,0.0,20.0,11.0,133.0,95.0,2.0
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Taurean Prince,princta02,16.1,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,1,1,0,1,1,1.5,3,0.266,0.0,1.0,2.0,0.0,5.2,2.9,0.0,2.7,4.5,0.0,4.4,64.0,91.0,-1.7
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Reggie Perry,perryre01,7.766666666666667,1,3,0.333,0,1,0.0,0,0,,1,1,2,1,0,0,0,0,2,2.0,-8,0.333,0.333,0.333,0.0,13.1,10.8,11.9,17.3,0.0,0.0,0.0,14.7,106.0,98.0,-1.9
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Bruce Brown,brownbr01,7.516666666666667,1,3,0.333,0,1,0.0,0,0,,0,1,1,1,0,0,2,1,2,-1.1,-7,0.333,0.333,0.333,0.0,0.0,11.2,6.1,17.9,0.0,0.0,40.0,25.3,51.0,97.0,-17.6
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Timoth̩ Luwawu-Cabarrot,luwawti01,6.6,2,6,0.333,1,3,0.333,0,0,,1,1,2,0,0,0,1,2,5,0.8,-9,0.417,0.417,0.5,0.0,15.5,12.8,14.0,0.0,0.0,0.0,14.3,40.4,80.0,96.0,-16.7
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Rodions Kurucs,kurucro01,6.6,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,3.0,-9,1.5,1.5,1.0,0.0,0.0,12.8,7.0,0.0,0.0,0.0,0.0,5.8,300.0,97.0,9.9
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Brooklyn Nets,True,Golden State Warriors,Tyler Johnson,johnsty01,5.983333333333333,0,1,0.0,0,0,,0,0,,1,0,1,0,1,0,0,0,0,1.0,-12,0.0,0.0,0.0,0.0,17.1,0.0,7.7,0.0,7.3,0.0,0.0,6.4,67.0,86.0,1.2
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Andrew Wiggins,wiggian01,31.233333333333334,4,16,0.25,2,6,0.333,3,4,0.75,0,2,2,1,0,1,4,4,13,-0.6,-28,0.366,0.313,0.375,0.25,0.0,6.5,3.0,5.0,0.0,2.7,18.4,26.3,63.0,118.0,-12.7
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Stephen Curry,curryst01,30.316666666666666,7,21,0.333,2,10,0.2,4,4,1.0,3,1,4,10,2,0,3,1,20,16.1,-23,0.439,0.381,0.476,0.19,8.3,3.4,6.1,61.1,2.9,0.0,11.6,32.1,99.0,114.0,8.1
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Kelly Oubre Jr.,oubreke01,25.65,3,14,0.214,0,6,0.0,0,0,,4,3,7,2,1,2,3,1,6,1.5,-28,0.214,0.214,0.429,0.0,13.1,11.9,12.6,11.9,1.7,6.6,17.6,25.0,54.0,110.0,-10.0
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,James Wiseman,wisemja01,24.283333333333335,7,13,0.538,1,1,1.0,4,8,0.5,1,5,6,0,2,0,1,2,19,13.5,-10,0.575,0.577,0.077,0.615,3.5,21.0,11.4,0.0,3.6,0.0,5.7,27.2,107.0,107.0,4.5
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Eric Paschall,pascher01,21.55,2,6,0.333,1,1,1.0,1,2,0.5,1,0,1,0,0,1,0,1,6,3.2,-28,0.436,0.417,0.167,0.333,3.9,0.0,2.1,0.0,0.0,3.9,0.0,12.1,96.0,119.0,-5.3
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Brad Wanamaker,wanambr01,21.666666666666668,0,2,0.0,0,1,0.0,3,4,0.75,0,1,1,3,0,0,1,2,3,1.8,1,0.399,0.0,0.5,2.0,0.0,4.7,2.1,18.0,0.0,0.0,21.0,8.3,90.0,120.0,-8.7
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Jordan Poole,poolejo01,17.916666666666668,1,4,0.25,0,1,0.0,0,0,,0,2,2,3,0,0,2,2,2,-0.5,-3,0.25,0.25,0.25,0.0,0.0,11.4,5.2,23.4,0.0,0.0,33.3,12.6,54.0,118.0,-13.1
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Juan Toscano-Anderson,toscaju01,13.25,2,2,1.0,0,0,,0,0,,0,4,4,2,0,2,0,3,4,6.2,-9,1.0,1.0,0.0,0.0,0.0,30.8,13.9,24.4,0.0,12.7,0.0,5.7,207.0,104.0,7.4
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Marquese Chriss,chrisma01,12.433333333333334,4,10,0.4,1,3,0.333,0,0,,3,5,8,1,0,0,0,2,9,7.1,-6,0.45,0.45,0.3,0.0,20.3,41.1,29.7,17.9,0.0,0.0,0.0,30.4,103.0,109.0,3.2
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Damion Lee,leeda03,12.233333333333333,1,2,0.5,1,1,1.0,0,0,,1,6,7,2,0,0,0,0,3,5.9,8,0.75,0.75,0.5,0.0,6.9,50.1,26.4,23.7,0.0,0.0,0.0,6.2,169.0,106.0,6.8
