Date,Arena,Visitor_Team,Home_Team,player_team,is_home,opponent,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,adv_TS%,adv_eFG%,adv_3PAr,adv_FTr,adv_ORB%,adv_DRB%,adv_TRB%,adv_AST%,adv_STL%,adv_BLK%,adv_TOV%,adv_USG%,adv_ORtg,adv_DRtg,adv_BPM
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Kent Bazemore,bazemke01,11.583333333333334,1,2,0.5,0,1,0.0,0,0,,0,2,2,2,1,0,2,3,2,0.8,-3,0.5,0.5,0.5,0.0,0.0,17.6,8.0,25.2,3.7,0.0,50.0,13.0,63.0,107.0,-7.3
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Kevon Looney,looneke01,11.283333333333333,2,4,0.5,0,0,,0,1,0.0,0,2,2,0,0,0,2,3,4,-1.0,-10,0.45,0.5,0.0,0.25,0.0,18.1,8.2,0.0,0.0,0.0,31.1,21.6,54.0,116.0,-17.1
"Tue, Dec 22, 2020",Barclays Center,Golden State Warriors,Brooklyn Nets,Golden State Warriors,False,Brooklyn Nets,Mychal Mulder,muldemy01,6.6,3,3,1.0,2,2,1.0,0,0,,0,1,1,0,0,0,0,0,8,7.4,9,1.333,1.333,0.667,0.0,0.0,15.5,7.0,0.0,0.0,0.0,0.0,17.2,267.0,117.0,29.4
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Paul George,georgpa01,35.766666666666666,13,18,0.722,5,8,0.625,2,2,1.0,0,6,6,3,1,0,5,3,33,24.3,17,0.874,0.861,0.444,0.111,0.0,21.8,9.5,15.2,1.3,0.0,20.9,27.3,131.0,107.0,12.6
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Kawhi Leonard,leonaka01,34.016666666666666,10,26,0.385,1,8,0.125,5,5,1.0,0,2,2,3,2,0,3,5,26,11.5,1,0.461,0.404,0.308,0.192,0.0,7.6,3.3,14.2,2.7,0.0,9.6,37.5,93.0,106.0,-3.3
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Nicolas Batum,batumni01,28.183333333333334,1,4,0.25,1,3,0.333,0,0,,1,5,6,6,2,0,1,2,3,7.2,-2,0.375,0.375,0.75,0.0,3.5,23.0,12.0,24.2,3.3,0.0,20.0,7.3,115.0,102.0,6.3
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Patrick Beverley,beverpa01,22.116666666666667,4,9,0.444,2,5,0.4,0,0,,4,2,6,3,0,0,2,4,10,7.2,10,0.556,0.556,0.556,0.0,18.1,11.7,15.3,18.4,0.0,0.0,18.2,20.3,115.0,112.0,1.7
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Serge Ibaka,ibakase01,20.55,5,7,0.714,2,3,0.667,3,5,0.6,2,4,6,0,0,1,1,3,15,12.4,-8,0.815,0.857,0.429,0.714,9.7,25.3,16.5,0.0,0.0,4.5,9.8,20.3,147.0,106.0,8.7
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Ivica Zubac,zubaciv01,26.516666666666666,4,5,0.8,0,0,,3,4,0.75,3,3,6,1,1,1,1,4,11,11.5,17,0.814,0.8,0.0,0.8,11.3,14.7,12.8,4.9,1.7,3.5,12.9,12.0,154.0,105.0,4.7
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Lou Williams,willilo02,25.966666666666665,4,9,0.444,2,4,0.5,1,3,0.333,0,2,2,3,0,0,1,2,11,6.4,1,0.533,0.556,0.444,0.333,0.0,10.0,4.3,15.1,0.0,0.0,8.8,17.8,109.0,112.0,-1.6
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Luke Kennard,kennalu01,21.05,2,6,0.333,0,3,0.0,0,0,,0,2,2,2,2,1,1,3,4,3.1,-3,0.333,0.333,0.5,0.0,0.0,12.3,5.4,11.6,4.4,4.4,14.3,13.6,74.0,99.0,-0.8
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Patrick Patterson,pattepa01,19.6,1,5,0.2,1,4,0.25,0,0,,1,2,3,1,2,0,1,2,3,2.1,9,0.3,0.3,0.8,0.0,5.1,13.2,8.6,5.9,4.7,0.0,16.7,12.5,72.0,101.0,-1.4
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Reggie Jackson,jacksre01,3.35,0,3,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,1,0,-2.2,-1,0.0,0.0,0.667,0.0,0.0,38.7,16.9,0.0,0.0,0.0,0.0,36.6,0.0,106.0,-41.5
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Terance Mann,mannte01,1.0166666666666666,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,0.0,114.0,-42.0
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Amir Coffey,coffeam01,0.9333333333333333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,114.0,-3.9
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,False,Los Angeles Lakers,Mfiondu Kabengele,kabenmf01,0.9333333333333333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,114.0,-2.3
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Anthony Davis,davisan02,30.883333333333333,8,15,0.533,0,2,0.0,2,2,1.0,0,7,7,2,0,0,4,1,18,9.8,-16,0.567,0.533,0.133,0.133,0.0,22.7,12.8,12.2,0.0,0.0,20.1,27.2,92.0,112.0,-2.4
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,LeBron James,jamesle01,28.35,7,17,0.412,3,8,0.375,5,7,0.714,2,3,5,5,0,0,4,2,22,13.1,2,0.548,0.5,0.471,0.412,9.2,10.6,10.0,32.4,0.0,0.0,16.6,35.9,104.0,115.0,3.2
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Dennis Schr̦der,schrode01,27.8,5,15,0.333,2,5,0.4,2,4,0.5,1,11,12,8,0,0,1,4,14,11.7,-10,0.418,0.4,0.333,0.267,4.7,39.6,24.4,47.0,0.0,0.0,5.6,27.0,104.0,108.0,1.6
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Kentavious Caldwell-Pope,caldwke01,23.05,2,4,0.5,1,3,0.333,4,4,1.0,0,2,2,1,2,1,2,2,9,8.2,-9,0.781,0.625,0.75,1.0,0.0,8.7,4.9,6.2,4.0,3.9,25.8,14.2,120.0,104.0,6.6
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Marc Gasol,gasolma01,12.033333333333333,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,5,0,-2.0,-8,,,,,0.0,8.3,4.7,10.5,0.0,0.0,100.0,3.5,45.0,115.0,-10.7
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Montrezl Harrell,harremo01,32.25,6,7,0.857,0,0,,5,7,0.714,4,6,10,3,0,1,1,1,17,19.7,-3,0.843,0.857,0.0,1.0,16.1,18.6,17.5,15.4,0.0,2.8,9.0,14.5,166.0,112.0,10.7
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Kyle Kuzma,kuzmaky01,26.633333333333333,6,11,0.545,1,3,0.333,2,2,1.0,0,1,1,0,0,0,2,2,15,7.2,1,0.631,0.591,0.273,0.182,0.0,3.8,2.1,0.0,0.0,0.0,14.4,22.0,105.0,117.0,-2.3
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Markieff Morris,morrima02,19.0,1,3,0.333,1,2,0.5,2,3,0.667,1,3,4,1,0,0,0,0,5,5.2,14,0.579,0.5,0.667,1.0,6.8,15.8,11.9,7.1,0.0,0.0,0.0,9.6,138.0,114.0,3.5
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Alex Caruso,carusal01,16.666666666666668,1,5,0.2,1,4,0.25,0,0,,0,2,2,1,0,0,3,0,3,-1.8,3,0.3,0.3,0.8,0.0,0.0,12.0,6.8,8.2,0.0,0.0,37.5,20.3,44.0,115.0,-13.2
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Wesley Matthews,matthwe02,11.1,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,1,0,0,0,0,-0.4,-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,7.6,0.0,109.0,-4.9
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Talen Horton-Tucker,hortota01,10.85,2,2,1.0,0,0,,2,2,1.0,0,1,1,0,1,0,1,3,6,4.5,7,1.042,1.0,0.0,1.0,0.0,9.2,5.2,0.0,4.3,0.0,25.8,15.1,145.0,106.0,4.1
"Tue, Dec 22, 2020",STAPLES Center,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,True,Los Angeles Clippers,Quinn Cook,cookqu01,1.3833333333333333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,118.0,-4.8
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,Terry Rozier,roziete01,37.516666666666666,15,23,0.652,10,16,0.625,2,4,0.5,1,2,3,2,2,1,3,5,42,31.5,-4,0.848,0.87,0.696,0.174,2.7,7.5,4.7,9.9,2.5,2.2,10.8,31.8,136.0,119.0,15.1
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,Devonte' Graham,grahade01,37.11666666666667,4,13,0.308,2,9,0.222,0,0,,2,1,3,10,0,0,2,1,10,8.8,-7,0.385,0.385,0.692,0.0,5.4,3.8,4.7,32.5,0.0,0.0,13.3,17.4,104.0,128.0,-7.0
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,Gordon Hayward,haywago01,36.21666666666667,11,18,0.611,4,8,0.5,2,2,1.0,0,4,4,7,1,0,3,4,28,22.3,-2,0.742,0.722,0.444,0.111,0.0,15.6,6.5,30.5,1.3,0.0,13.7,26.0,131.0,122.0,5.6
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,P.J. Washington,washipj01,21.383333333333333,1,5,0.2,0,1,0.0,2,2,1.0,0,2,2,2,0,1,0,1,4,3.2,-17,0.34,0.2,0.2,0.4,0.0,13.2,5.5,10.5,0.0,3.9,0.0,11.8,91.0,123.0,-7.8
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,Cody Zeller,zelleco01,18.95,3,6,0.5,0,2,0.0,0,1,0.0,1,2,3,0,3,1,1,1,6,6.2,-10,0.466,0.5,0.333,0.167,5.3,14.9,9.3,0.0,7.5,4.4,13.4,16.9,83.0,105.0,-3.6
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,Bismack Biyombo,biyombi01,24.35,5,5,1.0,0,0,,1,5,0.2,1,3,4,0,0,1,2,1,11,7.8,0,0.764,1.0,0.0,1.0,4.1,17.4,9.6,0.0,0.0,3.5,21.7,16.3,105.0,123.0,-4.9
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,Miles Bridges,bridgmi02,22.083333333333332,3,10,0.3,0,5,0.0,0,0,,1,5,6,1,1,0,0,1,6,3.7,6,0.3,0.3,0.5,0.0,4.5,32.0,15.9,5.6,2.1,0.0,0.0,19.5,74.0,117.0,-11.6
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,Cody Martin,martico01,21.016666666666666,2,3,0.667,0,0,,1,1,1.0,1,4,5,4,0,0,0,1,5,8.0,2,0.727,0.667,0.0,0.333,4.8,26.9,13.9,22.6,0.0,0.0,0.0,7.0,178.0,123.0,2.0
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,LaMelo Ball,ballla01,15.8,0,5,0.0,0,3,0.0,0,0,,0,1,1,3,2,0,3,2,0,-2.9,2,0.0,0.0,0.6,0.0,0.0,8.9,3.7,20.3,6.0,0.0,37.5,21.8,26.0,113.0,-20.8
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,False,Cleveland Cavaliers,Jalen McDaniels,mcdanja01,5.566666666666666,1,2,0.5,0,0,,0,0,,1,0,1,0,1,0,1,0,2,1.7,-5,0.5,0.5,0.0,0.0,18.0,0.0,10.5,0.0,8.5,0.0,33.3,23.2,80.0,109.0,-5.4
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers,True,Charlotte Hornets,Collin Sexton,sextoco01,37.083333333333336,9,16,0.563,3,4,0.75,6,9,0.667,0,2,2,5,0,0,2,4,27,18.7,6,0.676,0.656,0.25,0.563,0.0,5.4,3.2,18.8,0.0,0.0,9.1,25.0,132.0,120.0,-1.9
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers,True,Charlotte Hornets,Larry Nance Jr.,nancela02,33.56666666666667,5,9,0.556,1,1,1.0,2,2,1.0,5,8,13,8,3,2,2,4,13,21.0,3,0.658,0.611,0.111,0.222,21.0,23.8,22.7,29.4,4.2,6.2,16.8,14.9,145.0,103.0,10.6
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers,True,Charlotte Hornets,Isaac Okoro,okorois01,33.53333333333333,4,5,0.8,1,2,0.5,2,2,1.0,0,3,3,5,0,0,2,1,11,11.1,7,0.935,0.9,0.4,0.4,0.0,8.9,5.2,17.8,0.0,0.0,25.4,9.9,147.0,120.0,0.0
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers,True,Charlotte Hornets,Darius Garland,garlada01,32.55,7,13,0.538,4,8,0.5,4,4,1.0,0,6,6,6,1,0,2,3,22,19.5,4,0.745,0.692,0.615,0.308,0.0,18.4,10.8,24.8,1.5,0.0,11.9,21.7,143.0,114.0,3.1
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers,True,Charlotte Hornets,Andre Drummond,drumman01,27.216666666666665,7,18,0.389,0,1,0.0,0,0,,3,11,14,4,1,0,5,2,14,7.6,-5,0.389,0.389,0.056,0.0,15.6,40.4,30.1,21.0,1.7,0.0,21.7,35.6,80.0,110.0,-13.5
"Wed, Dec 23, 2020",Rocket Mortgage Fieldhouse,Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers,True,Charlotte Hornets,JaVale McGee,mcgeeja01,19.2,6,7,0.857,0,1,0.0,1,1,1.0,1,6,7,1,1,1,1,3,13,13.2,12,0.874,0.857,0.143,0.143,7.4,31.3,21.3,8.1,2.5,5.4,11.8,18.5,150.0,106.0,5.8
