Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Mon, Jan 2, 2023",Rocket Mortgage Fieldhouse,Cleveland Cavaliers,Chicago Bulls,Isaac Okoro,okorois01,19.566666666666666,1,3,.333,1,1,1.000,0,0,,1,2,3,1,0,1,0,6,3,3
"Mon, Jan 2, 2023",Rocket Mortgage Fieldhouse,Cleveland Cavaliers,Chicago Bulls,Raul Neto,netora01,17.45,2,3,.667,0,1,.000,0,0,,1,0,1,2,0,0,1,0,4,3
"Mon, Jan 2, 2023",Rocket Mortgage Fieldhouse,Cleveland Cavaliers,Chicago Bulls,Robin Lopez,lopezro01,7.25,0,1,.000,0,0,,1,2,.500,1,0,1,0,0,0,1,1,1,-3
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Gary Trent Jr.,trentga02,40.416666666666664,11,18,.611,5,10,.500,5,6,.833,1,4,5,3,2,0,1,5,32,1
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Scottie Barnes,barnesc01,39.68333333333333,8,14,.571,1,2,.500,6,8,.750,2,6,8,8,0,2,3,4,23,16
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,OG Anunoby,anunoog01,39.53333333333333,7,20,.350,3,11,.273,0,0,,4,4,8,2,1,2,2,3,17,0
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Pascal Siakam,siakapa01,39.13333333333333,9,17,.529,2,4,.500,6,7,.857,1,6,7,7,0,0,3,3,26,-6
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Fred VanVleet,vanvlfr01,36.45,3,15,.200,3,12,.250,0,0,,0,2,2,3,0,2,1,4,9,1
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Precious Achiuwa,achiupr01,12.433333333333334,1,3,.333,0,1,.000,1,2,.500,0,0,0,2,1,3,0,2,3,-11
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Christian Koloko,kolokch01,10.916666666666666,1,1,1.000,0,0,,0,0,,2,2,4,0,0,2,0,3,2,-4
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Malachi Flynn,flynnma01,8.933333333333334,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-18
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Thaddeus Young,youngth01,8.166666666666666,1,1,1.000,0,0,,0,0,,1,0,1,1,1,0,0,1,2,-14
"Mon, Jan 2, 2023",Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,Chris Boucher,bouchch01,4.333333333333333,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-5
